input,output
What is Angular?,Angular is a TypeScript-based open-source web application framework led by the Angular Team at Google. It is used to build single-page client applications using HTML and TypeScript.
What are the main features of Angular?,"Some of the key features include two-way data binding, dependency injection, modularity, component-based architecture, and RxJS integration"
What is the difference between AngularJS and Angular?,"AngularJS (version 1.x) is based on JavaScript, while Angular (version 2 and above) is based on TypeScript. Angular has a more modular architecture, improved performance, and better support for mobile development compared to AngularJS."
What are components in Angular?,"Components are the building blocks of an Angular application. They control a part of the UI and consist of an HTML template, a CSS stylesheet, and a TypeScript class that defines the component's behavior."
What is Angular CLI and how is it used?,"Angular CLI (Command Line Interface) is a tool to initialize, develop, scaffold, and maintain Angular applications. It provides commands for generating components, services, pipes, and for building, testing, and deploying applications."
What is a module in Angular?,"A module is a mechanism to group related components, directives, pipes, and services. Each Angular application has at least one module, the root module, defined in AppModule."
Explain the concept of Dependency Injection in Angular.,Dependency Injection (DI) is a design pattern used to implement IoC (Inversion of Control). It allows a class to receive dependencies from external sources rather than creating them itself. Angular’s DI system provides the ability to inject services into components and other services.
What are Angular services and how are they different from components?,"Services are classes that handle data logic and business operations. Unlike components, they do not manage the view (HTML). Services are typically used to share data and logic across multiple components."
How does Angular handle forms?,"Angular supports two approaches for forms: Template-driven and Reactive forms. Template-driven forms are simpler and suitable for small forms, while Reactive forms provide more control and are better for complex and dynamic forms."
What is RxJS and how is it used in Angular?,"RxJS (Reactive Extensions for JavaScript) is a library for reactive programming using observables. Angular uses RxJS to handle asynchronous operations like HTTP requests, events, and more. Observables provide a powerful way to work with asynchronous data streams."
Explain the concept of Angular?,"Angular is a TypeScript-based open-source web application framework led by the Angular Team at Google. It is used to build single-page client applications using HTML and TypeScript. Angular follows a component-based architecture where the application is divided into smaller, reusable components. It also features two-way data binding, dependency injection, and RxJS for handling asynchronous operations."
What are the applications of Angular?,"Angular is used in various types of applications, including: 
        - Single-page applications (SPAs): Due to its efficient routing and data binding capabilities.
        - Enterprise web applications: Because of its modularity and maintainability.
        - Progressive Web Apps (PWAs): For providing app-like experiences on the web.
        - E-commerce platforms: Due to its scalability and rich feature set.
        - Content management systems (CMS): Thanks to its powerful templating and data handling.
        - Real-time applications: Utilizing WebSockets and RxJS for real-time data updates."
What is the difference between AngularJS and Angular?,"AngularJS (version 1.x) is based on JavaScript, while Angular (version 2 and above) is based on TypeScript. Angular has a more modular architecture, improved performance, and better support for mobile development compared to AngularJS."
What are Angular components?,"Components are the building blocks of an Angular application. They control a part of the UI and consist of an HTML template, a CSS stylesheet, and a TypeScript class that defines the component's behavior."
What is Angular CLI and how is it used?,"Angular CLI (Command Line Interface) is a tool to initialize, develop, scaffold, and maintain Angular applications. It provides commands for generating components, services, pipes, and for building, testing, and deploying applications."
What is a module in Angular?,"A module is a mechanism to group related components, directives, pipes, and services. Each Angular application has at least one module, the root module, defined in AppModule."
Explain the concept of Dependency Injection in Angular.,Dependency Injection (DI) is a design pattern used to implement IoC (Inversion of Control). It allows a class to receive dependencies from external sources rather than creating them itself. Angular’s DI system provides the ability to inject services into components and other services.
What are Angular services and how are they different from components?,"Services are classes that handle data logic and business operations. Unlike components, they do not manage the view (HTML). Services are typically used to share data and logic across multiple components."
How does Angular handle forms?,"Angular supports two approaches for forms: Template-driven and Reactive forms. Template-driven forms are simpler and suitable for small forms, while Reactive forms provide more control and are better for complex and dynamic forms."
What is RxJS and how is it used in Angular?,"RxJS (Reactive Extensions for JavaScript) is a library for reactive programming using observables. Angular uses RxJS to handle asynchronous operations like HTTP requests, events, and more. Observables provide a powerful way to work with asynchronous data streams."
What are Angular directives?,"Angular directives are classes that add additional behavior to elements in your Angular applications. With Angular directives, you can manage forms, lists, styles, and what users see. There are three types of directives in Angular:
        - Component Directives: Directives with a template.
        - Structural Directives: Change the DOM layout by adding and removing elements (e.g., *ngIf, *ngFor).
        - Attribute Directives: Change the appearance or behavior of an element, component, or another directive (e.g., ngClass, ngStyle)."
